src_country,dst_country,n,min_ms,p50_ms,p90_ms,p95_ms,max_ms,mean_ms,average_ms
AE,AE,144,-1.000,1.470,169.616,181.819,345.129,40.530,40.820
AE,AF,16,-1.000,158.043,221.943,221.943,253.489,146.824,156.679
AE,AL,8,122.581,134.833,209.347,232.643,232.643,158.383,158.383
AE,AM,16,-1.000,238.212,334.821,334.821,394.302,230.969,246.434
AE,AO,16,-1.000,264.083,339.854,339.854,353.262,242.494,258.727
AE,AR,112,-1.000,331.868,381.406,397.810,439.059,272.199,274.660
AE,AT,432,-1.000,128.556,193.156,206.760,336.715,126.564,127.756
AE,AU,436,-1.000,170.602,323.129,375.448,534.913,168.309,169.877
AE,AZ,16,-1.000,182.949,204.327,204.327,323.076,178.747,190.730
AE,BA,22,-1.000,126.053,249.095,301.731,386.073,110.847,116.173
AE,BD,16,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
AE,BE,112,-1.000,119.570,194.047,223.990,310.176,120.962,122.061
AE,BF,16,-1.000,-1.000,269.422,269.422,286.115,101.521,327.067
AE,BG,160,-1.000,142.783,205.509,215.357,375.059,127.834,129.465
AE,BH,16,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
AE,BO,16,-1.000,323.409,365.998,365.998,447.031,297.601,317.508
AE,BR,272,-1.000,303.223,377.159,396.120,445.579,242.337,245.051
AE,BY,16,-1.000,152.734,209.788,209.788,211.902,159.657,170.367
AE,CA,370,-1.000,202.685,267.449,285.909,376.865,169.172,171.032
AE,CH,578,-1.000,117.553,180.983,192.464,339.482,101.880,102.959
AE,CL,128,-1.000,317.021,380.540,404.958,553.839,280.892,283.112
AE,CM,16,-1.000,234.580,302.998,302.998,327.827,229.682,245.061
AE,CN,64,-1.000,114.102,194.401,218.494,263.086,110.889,112.665
AE,CO,96,-1.000,265.534,334.502,340.503,390.841,212.522,214.770
AE,CR,48,-1.000,263.955,320.503,331.352,347.691,245.891,251.144
AE,CZ,264,-1.000,129.981,251.213,289.790,382.274,137.277,138.866
AE,DE,2023,-1.000,119.214,187.250,233.085,427.905,107.063,108.142
AE,DJ,32,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
AE,DK,126,-1.000,129.312,196.896,268.767,339.557,112.137,113.042
AE,DO,64,-1.000,245.439,303.185,325.010,361.407,230.050,233.717
AE,EC,64,-1.000,275.905,340.270,374.042,490.223,238.912,242.720
AE,EE,64,-1.000,151.250,221.879,296.300,353.669,154.015,156.476
AE,ES,224,-1.000,120.004,202.701,232.503,378.499,113.361,114.391
AE,FI,232,-1.000,148.861,217.975,284.296,432.799,152.290,153.623
AE,FM,16,-1.000,295.236,378.988,378.988,391.546,271.947,290.143
AE,FR,794,-1.000,112.810,183.479,248.968,381.027,103.635,104.700
AE,GB,678,-1.000,116.855,188.982,210.620,391.522,101.734,102.806
AE,GE,48,-1.000,-1.000,239.259,246.268,312.131,62.883,218.027
AE,GH,15,-1.000,196.809,394.839,394.839,443.281,188.300,201.821
AE,GR,110,-1.000,138.849,211.807,233.923,368.171,109.348,110.360
AE,GT,32,-1.000,240.081,295.770,301.136,443.400,231.082,238.569
AE,HK,46,-1.000,107.211,196.829,202.394,256.615,84.713,86.618
AE,HN,16,-1.000,255.964,296.287,296.287,328.028,231.842,247.365
AE,HR,16,-1.000,139.323,215.883,215.883,229.646,138.343,147.633
AE,HU,64,-1.000,-1.000,190.217,215.854,285.114,74.469,253.211
AE,ID,244,-1.000,90.898,185.836,212.240,338.404,77.993,78.646
AE,IE,32,-1.000,131.835,186.547,189.249,190.789,127.950,132.110
AE,IL,32,-1.000,-1.000,198.097,209.036,230.637,77.361,249.755
AE,IM,16,-1.000,135.233,270.022,270.022,274.772,158.636,169.278
AE,IN,158,-1.000,117.058,231.881,292.466,423.872,114.129,115.605
AE,IQ,16,-1.000,191.833,340.132,340.132,397.626,200.862,214.319
AE,IR,150,-1.000,-1.000,206.606,223.740,339.457,45.416,153.720
AE,IS,16,-1.000,164.557,217.167,217.167,332.631,172.576,184.148
AE,IT,423,-1.000,121.016,182.647,194.454,384.093,111.892,112.970
AE,JP,316,-1.000,155.708,258.284,278.434,510.096,140.052,141.404
AE,KE,48,-1.000,244.076,286.869,299.764,360.003,199.002,203.257
AE,KG,16,-1.000,212.156,261.120,261.120,264.048,202.664,216.242
AE,KH,14,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
AE,KR,64,-1.000,170.948,304.240,369.372,459.239,173.875,176.651
AE,KZ,350,-1.000,208.629,278.250,297.878,489.544,199.606,201.925
AE,LB,16,-1.000,234.922,304.891,304.891,312.665,220.779,235.564
AE,LK,40,-1.000,147.730,251.533,255.291,295.685,143.359,147.061
AE,LT,56,-1.000,154.515,212.038,216.123,279.669,157.056,159.930
AE,LU,160,-1.000,123.838,197.334,240.542,282.592,127.932,129.564
AE,LV,16,-1.000,155.103,279.681,279.681,301.546,174.952,186.682
AE,MD,32,-1.000,-1.000,216.824,217.154,333.096,88.219,284.501
AE,MK,32,-1.000,134.260,217.537,239.236,284.263,110.103,113.687
AE,MN,16,-1.000,166.995,260.732,260.732,302.692,174.870,186.595
AE,MU,32,-1.000,294.142,338.498,350.935,427.607,254.101,262.330
AE,MV,16,-1.000,127.450,182.779,182.779,211.037,130.625,139.400
AE,MX,102,-1.000,244.416,290.709,297.681,319.560,174.680,176.419
AE,MY,64,-1.000,85.350,219.375,250.324,273.384,110.211,111.976
AE,MZ,16,-1.000,246.332,331.541,331.541,419.209,234.633,250.342
AE,NC,16,-1.000,206.162,288.311,288.311,414.264,199.826,213.214
AE,NG,40,-1.000,219.807,363.379,423.087,453.866,206.396,211.714
AE,NL,992,-1.000,121.604,197.147,256.965,401.542,126.301,127.597
AE,NO,126,-1.000,138.663,266.164,284.919,439.029,133.427,134.502
AE,NP,48,-1.000,117.577,219.211,232.099,300.878,99.039,101.167
AE,NZ,104,-1.000,202.654,367.435,391.288,436.590,200.145,202.098
AE,PA,16,-1.000,278.743,358.529,358.529,371.535,258.553,275.857
AE,PE,48,-1.000,278.313,319.624,377.039,412.539,220.723,225.441
AE,PG,8,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
AE,PH,128,-1.000,139.229,284.492,449.433,554.216,151.393,152.593
AE,PK,32,-1.000,-1.000,232.642,262.018,289.010,91.159,293.909
AE,PL,228,-1.000,131.802,202.814,253.730,353.030,112.692,113.698
AE,PT,94,-1.000,121.035,214.241,252.218,388.815,91.673,92.669
AE,PW,16,-1.000,284.506,372.498,372.498,395.333,259.914,277.308
AE,PY,16,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
AE,RO,152,-1.000,138.514,208.068,213.539,289.333,100.439,101.792
AE,RS,64,-1.000,130.056,199.844,204.736,243.296,90.274,91.723
AE,RU,333,-1.000,155.958,242.274,281.956,417.737,132.590,133.804
AE,SA,40,-1.000,176.174,239.807,275.970,333.199,152.216,156.145
AE,SE,272,-1.000,141.232,247.634,275.237,347.439,144.462,146.084
AE,SG,406,-1.000,78.606,240.703,303.426,520.314,105.009,106.064
AE,SI,64,-1.000,132.054,217.696,282.880,298.357,118.845,120.747
AE,SK,32,-1.000,135.491,194.594,198.871,210.181,143.754,148.423
AE,SL,8,200.415,223.054,232.692,237.630,237.630,217.022,217.022
AE,SV,40,-1.000,255.695,310.769,367.814,445.391,252.212,258.705
AE,SX,14,-1.000,241.096,286.701,286.701,290.308,233.480,251.517
AE,TH,32,-1.000,106.942,185.089,200.859,246.385,101.528,104.835
AE,TJ,31,-1.000,140.114,231.827,237.324,314.665,107.785,111.411
AE,TR,187,-1.000,139.444,218.843,240.293,334.580,109.677,110.874
AE,TT,16,-1.000,258.520,362.902,362.902,375.349,189.996,202.729
AE,TV,16,-1.000,270.445,352.141,352.141,378.479,266.333,284.155
AE,TW,208,-1.000,173.549,261.871,271.797,457.578,154.096,155.602
AE,TZ,16,-1.000,235.025,281.373,281.373,430.263,197.691,210.937
AE,UA,168,-1.000,156.103,215.983,226.900,308.451,147.377,149.165
AE,UG,8,235.855,292.184,307.273,337.365,337.365,287.281,287.281
AE,US,2619,-1.000,208.993,266.145,282.353,457.462,165.113,166.779
AE,UY,32,-1.000,306.380,382.060,386.861,394.550,275.709,284.635
AE,UZ,16,-1.000,-1.000,212.397,212.397,217.031,89.147,287.470
AE,VE,152,-1.000,249.250,308.020,314.398,363.974,190.103,192.651
AE,VN,48,-1.000,-1.000,221.928,361.130,480.399,85.349,295.054
AE,ZA,248,-1.000,252.444,312.725,354.117,387.200,224.269,226.100
AF,AE,18,-1.000,142.248,217.964,223.835,253.279,120.769,127.932
AF,AF,2,0.144,0.144,0.226,0.226,0.226,0.185,0.185
AF,AL,1,217.136,217.136,217.136,217.136,217.136,217.136,217.136
AF,AM,2,149.709,149.709,344.722,344.722,344.722,247.215,247.215
AF,AO,2,280.697,280.697,288.871,288.871,288.871,284.784,284.784
AF,AR,14,-1.000,352.970,400.935,400.935,417.254,310.228,334.169
AF,AT,54,-1.000,147.484,203.398,206.525,208.852,146.851,149.641
AF,AU,56,-1.000,240.345,302.850,310.479,329.899,200.883,204.554
AF,AZ,2,209.985,209.985,215.255,215.255,215.255,212.620,212.620
AF,BA,3,-1.000,216.527,227.101,227.101,227.101,147.542,221.813
AF,BD,2,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
AF,BE,14,-1.000,141.048,199.591,199.591,200.432,148.374,159.864
AF,BF,2,-1.000,-1.000,258.832,258.832,258.832,128.916,258.832
AF,BG,20,-1.000,154.008,216.048,219.183,226.743,153.145,161.258
AF,BH,2,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
AF,BO,2,339.657,339.657,399.009,399.009,399.009,369.333,369.333
AF,BR,34,-1.000,349.328,419.297,422.861,459.504,302.481,311.677
AF,BY,2,140.589,140.589,174.316,174.316,174.316,157.452,157.452
AF,CA,47,-1.000,231.993,275.371,278.874,290.307,196.537,200.831
AF,CH,73,-1.000,140.589,196.843,198.340,203.796,123.290,125.016
AF,CL,16,-1.000,383.590,426.060,426.060,442.542,341.681,364.526
AF,CM,2,265.839,265.839,270.057,270.057,270.057,267.948,267.948
AF,CN,8,-1.000,149.143,221.164,258.720,258.720,159.528,182.461
AF,CO,12,-1.000,300.629,343.558,343.558,343.829,254.041,277.227
AF,CR,6,282.521,286.263,307.587,330.374,330.374,299.102,299.102
AF,CZ,33,-1.000,142.646,207.567,210.053,224.588,157.810,162.773
AF,DE,253,-1.000,137.226,200.211,211.435,302.981,126.306,127.834
AF,DJ,4,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
AF,DK,16,-1.000,138.700,208.884,208.884,209.243,127.406,135.966
AF,DO,8,254.208,288.557,288.973,289.858,289.858,273.969,273.969
AF,EC,8,-1.000,296.557,311.799,354.082,354.082,267.478,305.832
AF,EE,8,128.525,170.867,219.020,229.008,229.008,167.291,167.291
AF,ES,28,-1.000,144.821,172.843,219.126,270.153,125.793,130.489
AF,FI,29,116.194,146.669,226.423,228.410,232.435,164.556,164.556
AF,FM,2,223.902,223.902,313.722,313.722,313.722,268.812,268.812
AF,FR,100,-1.000,145.946,203.189,209.631,270.960,131.919,133.262
AF,GB,86,-1.000,144.622,206.624,248.087,328.234,123.012,124.471
AF,GE,6,-1.000,-1.000,176.492,210.432,210.432,63.821,193.463
AF,GH,2,-1.000,-1.000,231.867,231.867,231.867,115.434,231.868
AF,GR,14,-1.000,161.825,229.534,229.534,276.135,137.335,147.976
AF,GT,4,249.126,259.828,263.610,263.610,263.610,258.072,258.072
AF,HK,6,-1.000,-1.000,226.833,293.767,293.767,111.497,336.491
AF,HN,2,266.646,266.646,320.498,320.498,320.498,293.572,293.572
AF,HR,2,142.389,142.389,206.222,206.222,206.222,174.306,174.306
AF,HU,8,-1.000,119.771,208.617,210.228,210.228,84.116,96.275
AF,ID,31,-1.000,122.349,223.608,225.688,282.095,98.602,101.922
AF,IE,4,132.929,159.676,212.461,212.461,212.461,164.384,164.384
AF,IL,4,-1.000,162.993,270.815,270.815,270.815,107.952,144.269
AF,IM,2,158.730,158.730,169.660,169.660,169.660,164.195,164.195
AF,IN,20,-1.000,198.066,353.842,366.946,443.311,191.555,201.689
AF,IQ,2,195.568,195.568,207.716,207.716,207.716,201.642,201.642
AF,IR,19,-1.000,-1.000,164.826,224.724,226.415,55.333,177.388
AF,IS,2,185.175,185.175,191.399,191.399,191.399,188.287,188.287
AF,IT,53,-1.000,155.369,216.739,264.611,329.192,156.949,159.986
AF,JP,40,-1.000,200.854,288.170,311.249,380.331,189.387,194.269
AF,KE,6,-1.000,256.665,324.939,325.081,325.081,247.173,296.808
AF,KG,2,202.129,202.129,229.977,229.977,229.977,216.053,216.053
AF,KH,2,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
AF,KR,8,-1.000,220.675,316.648,318.078,318.078,185.109,211.696
AF,KZ,42,-1.000,212.837,237.743,238.595,244.722,198.422,203.286
AF,LB,2,223.518,223.518,276.309,276.309,276.309,249.913,249.913
AF,LK,5,151.109,266.318,282.131,282.131,282.131,228.581,228.581
AF,LT,7,124.325,141.064,218.897,224.648,224.648,165.032,165.032
AF,LU,20,-1.000,147.106,201.771,214.095,288.216,157.177,165.502
AF,LV,2,137.056,137.056,183.460,183.460,183.460,160.258,160.258
AF,MD,4,-1.000,150.904,224.159,224.159,224.159,93.266,124.688
AF,MK,4,-1.000,162.286,180.230,180.230,180.230,125.192,167.256
AF,MN,2,211.014,211.014,275.711,275.711,275.711,243.362,243.362
AF,MU,4,272.735,340.220,374.878,374.878,374.878,331.465,331.465
AF,MV,2,172.016,172.016,210.465,210.465,210.465,191.240,191.240
AF,MX,13,-1.000,271.996,310.369,310.369,334.268,220.944,239.439
AF,MY,8,-1.000,131.530,199.101,241.068,241.068,134.398,153.741
AF,MZ,2,288.114,288.114,304.369,304.369,304.369,296.242,296.242
AF,NC,2,233.424,233.424,364.225,364.225,364.225,298.825,298.825
AF,NG,5,-1.000,249.433,437.200,437.200,437.200,262.305,328.131
AF,NL,124,-1.000,141.823,204.671,212.269,276.976,148.275,149.489
AF,NO,16,-1.000,144.079,219.955,219.955,231.257,138.172,147.450
AF,NP,6,-1.000,182.739,363.219,377.679,377.679,186.407,223.888
AF,NZ,13,-1.000,236.023,337.078,337.078,421.491,236.679,256.486
AF,PA,2,319.360,319.360,334.709,334.709,334.709,327.035,327.035
AF,PE,6,-1.000,303.945,319.500,347.815,347.815,261.831,314.397
AF,PG,1,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
AF,PH,16,-1.000,187.938,286.341,286.341,302.308,190.274,203.026
AF,PK,4,-1.000,41.964,150.699,150.699,150.699,47.666,63.888
AF,PL,29,-1.000,150.123,209.995,215.205,216.046,125.690,130.215
AF,PT,12,-1.000,159.070,204.741,204.741,217.745,102.553,111.967
AF,PW,2,307.810,307.810,318.983,318.983,318.983,313.397,313.397
AF,PY,2,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
AF,RO,19,-1.000,161.904,221.747,228.629,237.309,129.140,136.370
AF,RS,8,-1.000,146.105,210.346,214.188,214.188,92.402,105.745
AF,RU,40,-1.000,133.819,216.238,219.833,264.779,117.287,120.320
AF,SA,5,207.097,214.680,264.504,264.504,264.504,223.024,223.024
AF,SE,34,-1.000,146.160,216.403,216.619,218.316,160.113,164.995
AF,SG,49,-1.000,146.968,226.464,279.089,439.926,156.257,159.533
AF,SI,8,-1.000,149.981,204.120,204.750,204.750,129.833,148.523
AF,SK,4,146.175,203.216,206.942,206.942,206.942,176.682,176.682
AF,SL,1,245.977,245.977,245.977,245.977,245.977,245.977,245.977
AF,SV,5,250.811,266.352,314.111,314.111,314.111,278.989,278.989
AF,SX,2,287.676,287.676,320.909,320.909,320.909,304.293,304.293
AF,TH,4,-1.000,133.023,223.804,223.804,223.804,120.968,161.624
AF,TJ,3,-1.000,192.719,243.154,243.154,243.154,144.958,217.937
AF,TR,24,-1.000,167.913,221.445,222.097,225.350,122.904,128.291
AF,TT,2,-1.000,-1.000,287.503,287.503,287.503,143.252,287.504
AF,TV,2,268.321,268.321,346.558,346.558,346.558,307.440,307.440
AF,TW,26,-1.000,194.760,288.620,291.259,297.255,188.859,196.453
AF,TZ,2,252.050,252.050,390.673,390.673,390.673,321.362,321.362
AF,UA,21,-1.000,150.669,228.934,235.728,250.299,155.559,163.387
AF,UG,1,275.636,275.636,275.636,275.636,275.636,275.636,275.636
AF,US,323,-1.000,248.443,286.212,296.191,401.544,200.801,202.693
AF,UY,4,293.934,343.454,343.864,343.864,343.864,319.988,319.988
AF,UZ,2,-1.000,-1.000,144.383,144.383,144.383,71.691,144.382
AF,VE,19,-1.000,278.944,327.712,330.628,340.842,230.315,243.166
AF,VN,6,-1.000,-1.000,209.963,235.857,235.857,98.022,296.066
AF,ZA,31,-1.000,294.086,327.858,338.382,372.332,279.809,289.169
AL,AE,9,-1.000,123.227,209.529,232.801,232.801,126.537,142.479
AL,AF,1,217.354,217.354,217.354,217.354,217.354,217.354,217.354
AL,AL,1,0.357,0.357,0.357,0.357,0.357,0.357,0.357
AL,AM,1,104.833,104.833,104.833,104.833,104.833,104.833,104.833
AL,AO,1,207.579,207.579,207.579,207.579,207.579,207.579,207.579
AL,AR,7,241.470,254.293,257.913,278.326,278.326,255.388,255.388
AL,AT,26,24.835,27.387,35.047,37.946,42.909,29.445,29.445
AL,AU,22,-1.000,276.593,309.600,367.790,401.859,269.416,282.293
AL,AZ,1,52.128,52.128,52.128,52.128,52.128,52.128,52.128
AL,BA,1,44.868,44.868,44.868,44.868,44.868,44.868,44.868
AL,BD,1,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
AL,BE,7,-1.000,35.694,36.967,41.870,41.870,31.510,36.928
AL,BF,1,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
AL,BG,10,11.631,12.174,34.024,34.058,34.058,17.643,17.643
AL,BH,1,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
AL,BO,1,241.427,241.427,241.427,241.427,241.427,241.427,241.427
AL,BR,15,-1.000,216.274,248.859,248.859,250.271,201.566,216.035
AL,BY,1,80.806,80.806,80.806,80.806,80.806,80.806,80.806
AL,CA,21,-1.000,117.881,160.431,162.166,208.668,125.894,132.239
AL,CH,33,-1.000,23.716,41.485,43.054,56.022,24.960,25.771
AL,CL,8,227.287,253.899,261.316,265.470,265.470,249.450,249.450
AL,CM,1,148.609,148.609,148.609,148.609,148.609,148.609,148.609
AL,CN,4,186.269,201.028,203.883,203.883,203.883,194.459,194.459
AL,CO,6,-1.000,172.867,186.531,191.180,191.180,150.194,180.433
AL,CR,3,171.129,179.672,184.663,184.663,184.663,178.488,178.488
AL,CZ,17,-1.000,32.236,37.371,39.207,42.287,31.280,33.297
AL,DE,114,-1.000,34.530,42.602,46.031,166.249,34.707,35.023
AL,DJ,2,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
AL,DK,7,-1.000,41.250,42.924,55.578,55.578,36.892,43.207
AL,DO,4,140.370,142.534,175.844,175.844,175.844,150.002,150.002
AL,EC,4,184.469,192.517,201.523,201.523,201.523,191.081,191.081
AL,EE,4,52.577,53.099,54.532,54.532,54.532,53.305,53.305
AL,ES,14,-1.000,39.383,54.484,54.484,59.946,36.808,39.716
AL,FI,15,49.530,56.102,67.861,67.861,68.834,57.797,57.797
AL,FM,1,276.817,276.817,276.817,276.817,276.817,276.817,276.817
AL,FR,46,-1.000,34.754,45.325,58.322,71.487,35.799,36.617
AL,GB,39,-1.000,44.936,50.514,59.464,68.870,43.120,44.281
AL,GE,2,-1.000,-1.000,51.266,51.266,51.266,25.133,51.266
AL,GH,1,285.810,285.810,285.810,285.810,285.810,285.810,285.810
AL,GR,6,-1.000,22.255,36.400,39.030,39.030,23.520,28.424
AL,GT,2,156.391,156.391,164.788,164.788,164.788,160.589,160.589
AL,HK,2,193.429,193.429,203.609,203.609,203.609,198.519,198.519
AL,HN,1,151.586,151.586,151.586,151.586,151.586,151.586,151.586
AL,HR,1,21.422,21.422,21.422,21.422,21.422,21.422,21.422
AL,HU,3,26.739,29.391,37.765,37.765,37.765,31.298,31.298
AL,ID,14,-1.000,171.232,239.766,239.766,269.724,155.673,167.725
AL,IE,2,46.346,46.346,50.118,50.118,50.118,48.232,48.232
AL,IL,1,73.912,73.912,73.912,73.912,73.912,73.912,73.912
AL,IM,1,60.622,60.622,60.622,60.622,60.622,60.622,60.622
AL,IN,9,169.674,234.036,242.918,272.424,272.424,221.747,221.747
AL,IQ,1,71.714,71.714,71.714,71.714,71.714,71.714,71.714
AL,IR,10,-1.000,78.616,107.649,118.513,118.513,55.548,61.831
AL,IS,1,68.323,68.323,68.323,68.323,68.323,68.323,68.323
AL,IT,25,-1.000,24.075,35.888,49.192,74.203,25.983,27.107
AL,JP,18,223.257,236.074,261.482,268.087,336.609,243.930,243.930
AL,KE,3,-1.000,144.496,200.477,200.477,200.477,114.658,172.487
AL,KG,1,132.428,132.428,132.428,132.428,132.428,132.428,132.428
AL,KR,4,245.336,292.535,295.890,295.890,295.890,274.622,274.622
AL,KZ,21,83.017,114.627,125.925,126.258,145.359,112.244,112.244
AL,LB,1,99.068,99.068,99.068,99.068,99.068,99.068,99.068
AL,LK,3,147.507,179.175,216.051,216.051,216.051,180.911,180.911
AL,LT,4,45.934,59.376,61.145,61.145,61.145,55.426,55.426
AL,LU,10,31.411,32.463,36.330,37.426,37.426,33.633,33.633
AL,LV,1,48.291,48.291,48.291,48.291,48.291,48.291,48.291
AL,MD,1,30.695,30.695,30.695,30.695,30.695,30.695,30.695
AL,MK,2,-1.000,-1.000,15.413,15.413,15.413,7.206,15.412
AL,MN,1,263.618,263.618,263.618,263.618,263.618,263.618,263.618
AL,MU,2,225.577,225.577,245.585,245.585,245.585,235.581,235.581
AL,MV,1,177.824,177.824,177.824,177.824,177.824,177.824,177.824
AL,MX,6,-1.000,161.021,199.726,206.397,206.397,149.284,179.341
AL,MY,5,163.076,174.644,182.107,182.107,182.107,172.361,172.361
AL,MZ,1,193.325,193.325,193.325,193.325,193.325,193.325,193.325
AL,NC,1,270.231,270.231,270.231,270.231,270.231,270.231,270.231
AL,NG,3,156.064,176.759,178.264,178.264,178.264,170.362,170.362
AL,NL,61,-1.000,37.419,52.881,62.463,133.622,41.259,41.963
AL,NO,6,45.256,49.955,61.431,62.786,62.786,53.448,53.448
AL,NP,3,-1.000,232.416,242.336,242.336,242.336,157.917,237.375
AL,NZ,7,-1.000,282.362,286.460,288.461,288.461,243.012,283.681
AL,PA,1,177.300,177.300,177.300,177.300,177.300,177.300,177.300
AL,PE,3,197.739,212.800,242.496,242.496,242.496,217.678,217.678
AL,PG,1,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
AL,PH,7,185.731,225.863,519.528,540.163,540.163,311.142,311.142
AL,PK,1,250.367,250.367,250.367,250.367,250.367,250.367,250.367
AL,PL,14,-1.000,43.665,49.115,49.115,66.470,41.799,45.091
AL,PT,4,-1.000,48.362,83.783,83.783,83.783,44.516,59.688
AL,PW,1,273.410,273.410,273.410,273.410,273.410,273.410,273.410
AL,PY,1,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
AL,RO,10,-1.000,20.165,61.370,63.461,63.461,28.742,32.047
AL,RS,3,20.311,21.326,43.703,43.703,43.703,28.447,28.447
AL,RU,20,-1.000,73.471,116.300,146.167,203.887,83.831,88.296
AL,SA,3,96.616,102.881,118.374,118.374,118.374,105.957,105.957
AL,SE,17,38.884,48.358,53.327,57.193,71.376,48.760,48.760
AL,SG,25,-1.000,163.059,249.440,264.320,375.608,175.107,182.445
AL,SI,3,23.597,24.984,32.759,32.759,32.759,27.113,27.113
AL,SK,2,23.636,23.636,27.869,27.869,27.869,25.753,25.753
AL,SL,1,127.899,127.899,127.899,127.899,127.899,127.899,127.899
AL,SV,3,152.866,165.136,165.948,165.948,165.948,161.317,161.317
AL,TH,2,181.153,181.153,187.841,187.841,187.841,184.497,184.497
AL,TJ,2,137.112,137.112,167.038,167.038,167.038,152.075,152.075
AL,TR,10,20.931,35.285,54.776,65.197,65.197,38.605,38.605
AL,TT,1,182.268,182.268,182.268,182.268,182.268,182.268,182.268
AL,TV,1,309.048,309.048,309.048,309.048,309.048,309.048,309.048
AL,TW,12,-1.000,255.906,257.778,257.778,261.082,229.237,250.168
AL,TZ,1,202.416,202.416,202.416,202.416,202.416,202.416,202.416
AL,UA,11,42.581,50.381,84.681,85.819,85.819,58.347,58.347
AL,UG,1,167.473,167.473,167.473,167.473,167.473,167.473,167.473
AL,US,151,-1.000,131.482,176.498,184.699,261.422,131.649,133.430
AL,UY,2,207.532,207.532,208.178,208.178,208.178,207.855,207.855
AL,UZ,1,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
AL,VE,9,-1.000,187.563,201.462,203.624,203.624,163.701,184.289
AL,VN,3,-1.000,182.340,195.527,195.527,195.527,125.622,188.933
AL,ZA,16,177.598,197.098,261.102,261.102,263.503,204.347,204.347
AM,AE,18,-1.000,179.705,313.006,314.423,319.290,183.513,194.367
AM,AF,2,149.203,149.203,343.049,343.049,343.049,246.126,246.126
AM,AL,1,104.666,104.666,104.666,104.666,104.666,104.666,104.666
AM,AM,2,1.673,1.673,1.794,1.794,1.794,1.733,1.733
AM,AO,2,203.084,203.084,225.309,225.309,225.309,214.197,214.197
AM,AR,14,-1.000,285.273,310.061,310.061,316.670,248.582,267.781
AM,AT,52,-1.000,80.501,84.552,86.139,88.687,75.390,76.888
AM,AU,44,-1.000,329.194,393.693,413.830,461.450,318.434,325.863
AM,AZ,2,102.418,102.418,134.795,134.795,134.795,118.606,118.606
AM,BA,1,64.611,64.611,64.611,64.611,64.611,64.611,64.611
AM,BD,2,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
AM,BE,14,-1.000,67.547,78.172,78.172,79.753,66.670,71.875
AM,BF,2,-1.000,-1.000,177.658,177.658,177.658,88.329,177.658
AM,BG,19,-1.000,30.918,64.879,65.107,74.238,38.639,40.841
AM,BH,2,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
AM,BO,2,273.372,273.372,284.178,284.178,284.178,278.775,278.775
AM,BR,32,-1.000,259.467,284.874,287.397,299.634,209.995,216.801
AM,BY,2,67.372,67.372,68.668,68.668,68.668,68.020,68.020
AM,CA,41,-1.000,155.996,195.170,200.418,201.330,144.766,148.410
AM,CH,66,-1.000,70.287,82.669,85.618,100.615,65.664,66.690
AM,CL,16,-1.000,279.894,315.088,315.088,330.275,268.360,286.317
AM,CM,2,195.826,195.826,218.509,218.509,218.509,207.168,207.168
AM,CN,8,-1.000,251.175,299.148,313.581,313.581,227.285,259.897
AM,CO,12,-1.000,224.070,233.605,233.605,235.870,186.996,204.087
AM,CR,6,220.195,221.335,221.997,229.225,229.225,222.601,222.601
AM,CZ,33,-1.000,66.689,79.495,79.519,142.172,65.680,67.764
AM,DE,225,-1.000,70.026,77.866,79.991,89.282,62.962,63.536
AM,DJ,4,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
AM,DK,14,-1.000,72.102,81.590,81.590,83.390,68.194,73.517
AM,DO,8,190.069,193.936,197.486,212.434,212.434,195.968,195.968
AM,EC,8,-1.000,231.516,243.332,255.507,255.507,206.617,236.277
AM,EE,8,63.191,89.272,122.061,142.870,142.870,91.863,91.863
AM,ES,28,-1.000,93.939,106.053,111.732,111.981,75.309,78.135
AM,FI,29,46.947,87.303,107.956,168.514,173.968,90.555,90.555
AM,FM,2,344.139,344.139,366.155,366.155,366.155,355.147,355.147
